entry_date,exit_date,stance,entry_spot,exit_spot,long_strike,short1_strike,short2_strike,net_pnl_pts,net_pnl_rs,cum_pnl,peak,drawdown
2025-11-06,2025-11-13,PUT_CALENDAR,25673.15,25881.25,25400,25500,25200,260.0,16900.0,260.0,260.0,0.0
2025-11-18,2025-11-25,PUT_CALENDAR,25951.15,25878.35,25700,25800,25500,260.0,16900.0,520.0,520.0,0.0
2025-11-27,2025-12-04,PUT_CALENDAR,26253.3,26032.5,26000,26100,25800,192.5,12512.5,712.5,712.5,0.0
2025-12-09,2025-12-16,PUT_CALENDAR,25803.15,25841.45,25550,25650,25350,260.0,16900.0,972.5,972.5,0.0
2025-12-18,2025-12-26,PUT_CALENDAR,25777.5,26041.0,25550,25650,25350,260.0,16900.0,1232.5,1232.5,0.0
2025-12-30,2026-01-06,PUT_CALENDAR,25890.55,26184.25,25650,25750,25450,260.0,16900.0,1492.5,1492.5,0.0
2026-01-08,2026-01-16,PUT_CALENDAR,26108.75,25695.9,25850,25950,25650,468.1999999999971,30432.99999999981,1960.699999999997,1960.699999999997,0.0
2026-01-20,2026-01-28,PUT_CALENDAR,25553.1,25348.1,25300,25400,25100,208.09999999999854,13526.499999999905,2168.7999999999956,2168.7999999999956,0.0
2026-01-29,2026-02-04,PUT_CALENDAR,25261.2,25766.85,25000,25100,24800,260.0,16900.0,2428.7999999999956,2428.7999999999956,0.0
2026-02-05,2026-02-12,PUT_CALENDAR,25702.2,25807.3,25450,25550,25250,260.0,16900.0,2688.7999999999956,2688.7999999999956,0.0
2026-02-17,2026-02-24,PUT_CALENDAR,25580.45,25438.95,25350,25450,25150,248.95000000000073,16181.750000000047,2937.7499999999964,2937.7499999999964,0.0
2026-02-26,2026-03-06,PUT_CALENDAR,25532.15,24453.05,25300,25400,25100,1206.9500000000007,78451.75000000004,4144.699999999997,4144.699999999997,0.0
2026-03-10,2026-03-17,PUT_CALENDAR,24159.4,23574.95,23900,24000,23700,685.0499999999993,44528.249999999956,4829.749999999996,4829.749999999996,0.0
2026-03-19,2026-03-27,PUT_CALENDAR,23280.4,22819.0,23050,23150,22850,591.0,38415.0,5420.749999999996,5420.749999999996,0.0
2026-04-02,2026-04-10,PUT_CALENDAR,22229.2,24057.6,22000,22100,21800,260.0,16900.0,5680.749999999996,5680.749999999996,0.0
2026-04-16,2026-04-23,PUT_CALENDAR,24388.0,24170.55,24150,24250,23950,180.54999999999927,11735.749999999953,5861.299999999996,5861.299999999996,0.0
2026-04-28,2026-05-06,PUT_CALENDAR,24098.25,24321.7,23850,23950,23650,260.0,16900.0,6121.299999999996,6121.299999999996,0.0
2026-05-07,2026-05-14,PUT_CALENDAR,24317.9,23681.6,24050,24150,23850,728.4000000000015,47346.000000000095,6849.699999999997,6849.699999999997,0.0
2026-05-19,2026-05-26,PUT_CALENDAR,23734.35,23912.85,23500,23600,23300,260.0,16900.0,7109.699999999997,7109.699999999997,0.0
2026-06-02,2026-06-09,PUT_CALENDAR,23287.1,23233.1,23050,23150,22850,260.0,16900.0,7369.699999999997,7369.699999999997,0.0
2026-06-11,2026-06-18,PUT_CALENDAR,23126.9,24177.8,22900,23000,22700,260.0,16900.0,7629.699999999997,7629.699999999997,0.0
2026-06-23,2026-07-01,PUT_CALENDAR,24090.6,23995.15,23850,23950,23650,260.0,16900.0,7889.699999999997,7889.699999999997,0.0
2026-07-02,2026-07-09,PUT_CALENDAR,24105.9,23961.1,23850,23950,23650,260.0,16900.0,8149.699999999997,8149.699999999997,0.0
2026-07-14,2026-07-21,PUT_CALENDAR,24121.4,24186.75,23850,23950,23650,260.0,16900.0,8409.699999999997,8409.699999999997,0.0
